fid,ID_0,ISO,NAME_0,ID_1,NAME_1,ID_2,NAME_2,TYPE_2,ENGTYPE_2,NL_NAME_2,VARNAME_2,pop_sum
107,33,BRA,Brazil,2,Alagoas,107,São José da Laje,Município,Municipality,,,19877
108,33,BRA,Brazil,2,Alagoas,108,São José da Tapera,Município,Municipality,,,33363
109,33,BRA,Brazil,2,Alagoas,109,São Luís do Quitunde,Município,Municipality,,,29958
110,33,BRA,Brazil,2,Alagoas,110,São Miguel dos Campos,Município,Municipality,,,57078
111,33,BRA,Brazil,2,Alagoas,111,São Miguel dos Milagres,Município,Municipality,,,8646
112,33,BRA,Brazil,2,Alagoas,112,São Sebastião,Município,Municipality,,,31714
113,33,BRA,Brazil,2,Alagoas,113,Santa Luzia do Norte,Município,Municipality,,,7258
114,33,BRA,Brazil,2,Alagoas,114,Santana do Ipanema,Município,Municipality,,,48301
115,33,BRA,Brazil,2,Alagoas,115,Santana do Mundaú,Município,Municipality,,,10947
116,33,BRA,Brazil,2,Alagoas,116,Satuba,Município,Municipality,,,38651
117,33,BRA,Brazil,2,Alagoas,117,Senador Rui Palmeira,Município,Municipality,,,12661
118,33,BRA,Brazil,2,Alagoas,118,Tanque d'Arca,Município,Municipality,,,7712
119,33,BRA,Brazil,2,Alagoas,119,Taquarana,Município,Municipality,,,20848
120,33,BRA,Brazil,2,Alagoas,120,Teotônio Vilela,Município,Municipality,,,37178
121,33,BRA,Brazil,2,Alagoas,121,Traipu,Município,Municipality,,,22386
122,33,BRA,Brazil,2,Alagoas,122,União dos Palmares,Município,Municipality,,,58928
123,33,BRA,Brazil,2,Alagoas,123,Viçosa,Município,Municipality,,,23454
124,33,BRA,Brazil,3,Amapá,124,Amapá,Município,Municipality,,,8154
125,33,BRA,Brazil,3,Amapá,125,Calçoene,Município,Municipality,,,11347
126,33,BRA,Brazil,3,Amapá,126,Cutias,Município,Municipality,,,4626
127,33,BRA,Brazil,3,Amapá,127,Ferreira Gomes,Município,Municipality,,,7267
128,33,BRA,Brazil,3,Amapá,128,Itaubal,Município,Municipality,,,5708
129,33,BRA,Brazil,3,Amapá,129,Laranjal do Jari,Município,Municipality,,,32763
130,33,BRA,Brazil,3,Amapá,130,Macapa,Município,Municipality,,,473062
131,33,BRA,Brazil,3,Amapá,131,Mazagão,Município,Municipality,,,23667
132,33,BRA,Brazil,3,Amapá,132,Oiapoque,Município,Municipality,,,29828
133,33,BRA,Brazil,3,Amapá,133,Pedra Branca do Amaparí,Município,Municipality,,,13765
134,33,BRA,Brazil,3,Amapá,134,Porto Grande,Município,Municipality,,,18349
135,33,BRA,Brazil,3,Amapá,135,Pracuúba,Município,Municipality,,,3835
136,33,BRA,Brazil,3,Amapá,136,Santana,Município,Municipality,,,112004
137,33,BRA,Brazil,3,Amapá,137,Serra do Navio,Município,Municipality,,,4895
138,33,BRA,Brazil,3,Amapá,138,Tartarugalzinho,Município,Municipality,,,13602
139,33,BRA,Brazil,3,Amapá,139,Vitória do Jari,Município,Municipality,,,10634
140,33,BRA,Brazil,4,Amazonas,140,Alvarães,Município,Municipality,,,16348
141,33,BRA,Brazil,4,Amazonas,141,Amaturá,Município,Municipality,,,11559
142,33,BRA,Brazil,4,Amazonas,142,Anamã,Município,Municipality,,,9772
143,33,BRA,Brazil,4,Amazonas,143,Anori,Município,Municipality,,,17768
144,33,BRA,Brazil,4,Amazonas,144,Apuí,Município,Municipality,,,22145
145,33,BRA,Brazil,4,Amazonas,145,Atalaia do Norte,Município,Municipality,,,15842
146,33,BRA,Brazil,4,Amazonas,146,Autazes,Município,Municipality,,,45043
147,33,BRA,Brazil,4,Amazonas,147,Barcelos,Município,Municipality,,,17073
148,33,BRA,Brazil,4,Amazonas,148,Barreirinha,Município,Municipality,,,33241
149,33,BRA,Brazil,4,Amazonas,149,Benjamin Constant,Município,Municipality,,,38911
150,33,BRA,Brazil,4,Amazonas,150,Beruri,Município,Municipality,,,22970
151,33,BRA,Brazil,4,Amazonas,151,Boa Vista do Ramos,Município,Municipality,,,26871
152,33,BRA,Brazil,4,Amazonas,152,Boca do Acre,Município,Municipality,,,37149
153,33,BRA,Brazil,4,Amazonas,153,Borba,Município,Municipality,,,32895
154,33,BRA,Brazil,4,Amazonas,154,Caapiranga,Município,Municipality,,,14129
155,33,BRA,Brazil,4,Amazonas,155,Canutama,Município,Municipality,,,18017
156,33,BRA,Brazil,4,Amazonas,156,Carauari,Município,Municipality,,,30641
157,33,BRA,Brazil,4,Amazonas,157,Careiro da Várzea,Município,Municipality,,,18012
158,33,BRA,Brazil,4,Amazonas,158,Careiro,Município,Municipality,,,30097
159,33,BRA,Brazil,4,Amazonas,159,Coari,Município,Municipality,,,68690
160,33,BRA,Brazil,4,Amazonas,160,Codajás,Município,Municipality,,,24418
161,33,BRA,Brazil,4,Amazonas,161,Eirunepé,Município,Municipality,,,35606
162,33,BRA,Brazil,4,Amazonas,162,Envira,Município,Municipality,,,23233
163,33,BRA,Brazil,4,Amazonas,163,Fonte Boa,Município,Municipality,,,27358
164,33,BRA,Brazil,4,Amazonas,164,Guajará,Município,Municipality,,,42098
165,33,BRA,Brazil,4,Amazonas,165,Humaitá,Município,Municipality,,,62767
166,33,BRA,Brazil,4,Amazonas,166,Ipixuna,Município,Municipality,,,25427
167,33,BRA,Brazil,4,Amazonas,167,Iranduba,Município,Municipality,,,68459
168,33,BRA,Brazil,4,Amazonas,168,Itacoatiara,Município,Municipality,,,111734
169,33,BRA,Brazil,4,Amazonas,169,Itamarati,Município,Municipality,,,12049
170,33,BRA,Brazil,4,Amazonas,170,Japurá,Município,Municipality,,,8734
171,33,BRA,Brazil,4,Amazonas,171,Juruá,Município,Municipality,,,11186
172,33,BRA,Brazil,4,Amazonas,172,Jutaí,Município,Municipality,,,27996
173,33,BRA,Brazil,4,Amazonas,173,Lábrea,Município,Municipality,,,49121
174,33,BRA,Brazil,4,Amazonas,174,Manacapuru,Município,Municipality,,,110323
175,33,BRA,Brazil,4,Amazonas,175,Manaquiri,Município,Municipality,,,14763
176,33,BRA,Brazil,4,Amazonas,176,Manicore,Município,Municipality,,,57479
177,33,BRA,Brazil,4,Amazonas,177,Maraã,Município,Municipality,,,14669
178,33,BRA,Brazil,4,Amazonas,178,Maués,Município,Municipality,,,2277261
179,33,BRA,Brazil,4,Amazonas,179,Nhamundá,Município,Municipality,,,21310
180,33,BRA,Brazil,4,Amazonas,180,Nova Olinda do Norte,Município,Municipality,,,25721
181,33,BRA,Brazil,4,Amazonas,181,Novo Airão,Município,Municipality,,,16470
182,33,BRA,Brazil,4,Amazonas,182,Novo Aripuanã,Município,Municipality,,,25312
183,33,BRA,Brazil,4,Amazonas,183,Parintins,Município,Municipality,,,94688
184,33,BRA,Brazil,4,Amazonas,184,Pauini,Município,Municipality,,,20206
185,33,BRA,Brazil,4,Amazonas,185,Presidente Figueiredo,Município,Municipality,,,32867
186,33,BRA,Brazil,4,Amazonas,186,Rio Preto da Eva,Município,Municipality,,,24876
187,33,BRA,Brazil,4,Amazonas,187,São Gabriel de Cahoeira,Município,Municipality,,,55718
188,33,BRA,Brazil,4,Amazonas,188,São Paulo de Olivença,Município,Municipality,,,35918
189,33,BRA,Brazil,4,Amazonas,189,São Sebastião do Uatumã,Município,Municipality,,,67915
190,33,BRA,Brazil,4,Amazonas,190,Santa Isabel do Rio Negro,Município,Municipality,,,12705
191,33,BRA,Brazil,4,Amazonas,191,Santo Antônio do Içá,Município,Municipality,,,29950
192,33,BRA,Brazil,4,Amazonas,192,Silves,Município,Municipality,,,12876
193,33,BRA,Brazil,4,Amazonas,193,Tabatinga,Município,Municipality,,,12391
194,33,BRA,Brazil,4,Amazonas,194,Tapauá,Município,Municipality,,,21594
195,33,BRA,Brazil,4,Amazonas,195,Tefé,Município,Municipality,,,80023
196,33,BRA,Brazil,4,Amazonas,196,Tonantins,Município,Municipality,,,20983
197,33,BRA,Brazil,4,Amazonas,197,Uarini,Município,Municipality,,,15636
198,33,BRA,Brazil,4,Amazonas,198,Urucará,Município,Municipality,,,19723
199,33,BRA,Brazil,4,Amazonas,199,Urucurituba,Município,Municipality,,,26383
200,33,BRA,Brazil,5,Bahia,200,Érico Cardoso,Município,Municipality,,,10271
201,33,BRA,Brazil,5,Bahia,201,Água Fria,Município,Municipality,,,12204
202,33,BRA,Brazil,5,Bahia,202,Abaíra,Município,Municipality,,,7522
203,33,BRA,Brazil,5,Bahia,203,Abaré,Município,Municipality,,,17009
204,33,BRA,Brazil,5,Bahia,204,Acajutiba,Município,Municipality,,,14521
205,33,BRA,Brazil,5,Bahia,205,Adustina,Município,Municipality,,,13201
206,33,BRA,Brazil,5,Bahia,206,Aiquara,Município,Municipality,,,5131
207,33,BRA,Brazil,5,Bahia,207,Alagoinhas,Município,Municipality,,,157615
208,33,BRA,Brazil,5,Bahia,208,Alcobaca,Município,Municipality,,,26367
209,33,BRA,Brazil,5,Bahia,209,Almadina,Município,Municipality,,,4883
210,33,BRA,Brazil,5,Bahia,210,Amélia Rodrigues,Município,Municipality,,,22524
211,33,BRA,Brazil,5,Bahia,211,América dourada,Município,Municipality,,,14394
212,33,BRA,Brazil,5,Bahia,212,Amargosa,Município,Municipality,,,37953
213,33,BRA,Brazil,5,Bahia,213,Anagé,Município,Municipality,,,25912
214,33,BRA,Brazil,5,Bahia,214,Andarai,Município,Municipality,,,14581
215,33,BRA,Brazil,5,Bahia,215,Andorinha,Município,Municipality,,,14742
216,33,BRA,Brazil,5,Bahia,216,Angical,Município,Municipality,,,15205
217,33,BRA,Brazil,5,Bahia,217,Anguera,Município,Municipality,,,10987
218,33,BRA,Brazil,5,Bahia,218,Antônio Cardoso,Município,Municipality,,,11293
219,33,BRA,Brazil,5,Bahia,219,Antônio Gonçalves,Município,Municipality,,,12399
220,33,BRA,Brazil,5,Bahia,220,Antas,Município,Municipality,,,15870
